Model,Accuracy,F1_Score,Inference_Time_ms,Model_Size_MB
BERT,0.222,0.137935917721519,60407.76872634888,418.355712890625
RoBERTa,0.21,0.07358677685950414,51388.75198364258,478.91535091400146
DistilBERT,0.276,0.19473081711317008,28602.782249450684,256.1106939315796
ALBERT,0.216,0.12422095238095236,44643.309116363525,46.45297718048096
